Feature Area,Feature,User Story,Expected Behavior,Source Evidence,Code Owner / Main Files,Test Method,Automated Proof,Computer/UI Proof,Manual Proof Needed,Status,Errors Found,Fix PR / Commit,Retest Result,Notes
Dictation,Custom dictionary,"As a user with names or jargon, I want spoken-term corrections to apply to final text.","Corrections apply with casing, acronym, longer-before-shorter, and word-boundary rules across dictation and Whisper output.",Sources/Support/CustomDictionaryPreferences.swift; Sources/Speech/WhisperEngine.swift,Sources/Support/; Sources/Speech/,run-tests.sh CustomDictionaryPreferencesTests WhisperCustomDictionaryTests,"PASS: CustomDictionaryPreferencesTests passed 9/9 for defaults, parsing, persistence, word boundaries, longer terms, flexible spacing, and replacement escaping; Whisper custom-dictionary focused proof passed 4/4 for transcript correction and WhisperEngine routing through CustomDictionaryTextProcessor",NOT RUN or not required for this automated story pass,Settings edit UI persistence remains useful manual feel check; deterministic preference/parser/engine behavior passed,PASS,None found in focused proof,,RETEST PASS: bash run-tests.sh --filter CustomDictionaryPreferencesTests.swift; bash run-tests.sh --filter testCustomDictionaryPreferences,Focused proof covers the code contract; no raw dictation text or private terms used.
Dictation,Filler cleanup,"As a user, I want optional light cleanup of filler words without changing meaning.","When enabled, cleanup removes only configured filler patterns and stays opt-in/persisted.",Sources/Support/DictationCleanupPreferences.swift; Sources/Support/DictationFillerCleanupPolicy.swift,Sources/Support/,run-tests.sh DictationCleanupPreferencesTests DictationFillerCleanupPolicyTests,"PASS: DictationFillerCleanupPolicyTests passed 20/20 and DictationCleanupPreferencesTests passed 4/4; covered spoken filler removal, clean text preservation, URLs/paths, meaningful leading words, acronyms/repeated words, punctuation, filler-only empty output, default enabled preference, persistence, and stable key",NOT RUN or not required for this automated story pass,Settings toggle visual flow remains useful manual feel check; deterministic policy/preference behavior passed,PASS,None found in focused proof,,RETEST PASS: bash run-tests.sh --filter DictationFillerCleanupPolicyTests.swift; bash run-tests.sh --filter DictationCleanup,Focused proof added in continuation pass.
Dictation,Waveform and overlay state,"As a user, I want visible feedback that Transcripted is listening or recovering.","Overlay shows compact listening, live meter, loading/recovery, no-speech, and error states according to policy.",Sources/UI/Overlay/OverlayRootView.swift; Sources/UI/Overlay/DictationMeterPolicy.swift; Sources/UI/Overlay/DictationMicrophoneLoadingPresentationPolicy.swift,Sources/UI/Overlay/,run-tests.sh overlay policy tests; qa-bench ui,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Real overlay placement and animation,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Dictation,Saved daily Markdown,"As a user, I want every successful dictation saved as a plain Markdown daily log.","Successful dictations append to Dictations_YYYY-MM-DD.md with title, source app metadata, delivery outcome, timestamp, word/character counts, and final text.",docs/storage-paths.md; Sources/Dictation/DictationTranscriptWriter.swift; Sources/Dictation/DictationTranscriptStore.swift,Sources/Dictation/,run-tests.sh DictationTranscriptWriterTests DictationTranscriptStoreTests; run-e2e-smoke.sh,"PASS: DictationTranscriptWriterTests passed 11/11 and DictationTranscriptStoreTests passed 24/24; covered grouping dictations by day, owner-only Markdown files, separate day files, latest saved text, legacy timestamp metadata, recent dictations, markdown headings, counts, and deletion by entry ID",NOT RUN or not required for this automated story pass,Real capture-library write from app session remains useful manual/live proof; deterministic writer/store behavior passed,PASS,None found in focused proof,,RETEST PASS: bash run-tests.sh --filter DictationTranscriptWriterTests.swift; bash run-tests.sh --filter DictationTranscriptStoreTests.swift,Focused proof covers saved Markdown artifact contract without private content.
Dictation,Auto Enter after paste,"As a user, I want selected apps to send pasted dictation automatically.","Auto Enter applies only to allowed apps and after the configured save/delivery order, with safe fallback if paste fails.",Sources/Support/DictationAutoSendPreferences.swift; Sources/Dictation/DictationStopFinalizationPolicy.swift; Sources/UI/Settings/AutoEnterDisplayNameResolver.swift,Sources/Support/; Sources/Dictation/; Sources/UI/Settings/,run-tests.sh DictationAutoSendPreferencesTests DictationStopFinalizationPolicyTests AutoEnterDisplayNameResolverTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass,Real target-app send behavior,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Pasteback,Clipboard-safe paste,"As a user, I want dictation inserted into the focused app without losing my clipboard.","Paste helper temporarily uses clipboard, dispatches paste, waits long enough for slow targets, restores user clipboard unless user copied something new, and leaves text copied on dispatch failure.",Sources/Support/ClipboardRestoringTextPaster.swift; Tests/E2E/SlowPastebackSmoke.swift,Sources/Support/; Tests/E2E/,run-slow-pasteback-smoke.sh; run-tests.sh ClipboardRestoringTextPasterTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass,Real TextEdit/Notes/browser/Obsidian paste feel,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Pasteback,Focused editor fallback,"As a user, I want Transcripted to paste into the editor I was using, or copy if focus changed unsafely.",Accessibility metadata tracks focused element for overlay placement and paste target; inaccessible/changed focus should degrade to copied/failed honestly.,Sources/Accessibility/AccessibilityBridge.swift; Sources/UI/Overlay/DictationSessionController.swift,Sources/Accessibility/; Sources/UI/Overlay/,build.sh; run-tests.sh; qa-bench ui if AX allowed,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass,Real AX permission and secure-field behavior,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Home,Home dashboard recent captures,"As a user, I want Home to show recent meetings, dictations, failed work, and stats quickly.","Home loads paged recent captures, grouped by day, with stats, attention pills, previews, and refreshes only when relevant.",Sources/UI/Settings/HomeView.swift; Sources/UI/Shared/RecentCaptureScanners.swift; Sources/UI/Settings/SettingsRecentCaptureRefreshPolicy.swift,Sources/UI/Settings/; Sources/UI/Shared/,run-tests.sh Home* RecentCaptureScannersTests SettingsRecentCaptureRefreshPolicyTests; qa-bench ui,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Real large-library responsiveness,PASS,Initial UI proof blocker fixed: stale Transcripted instance from another worktree was idle and terminated; rerun passed,,PASS: UI blocker fixed by quitting stale app; UI smoke rerun passed qa-20260621-153239,
Home,Open and reveal saved artifacts,"As a user, I want row actions to open or reveal the right transcript/audio even after files were renamed or recompressed.",Home row actions resolve own files through resilient resolver and fail loudly instead of dead-clicking stale paths.,Sources/UI/Shared/OwnFileResolver.swift; Sources/UI/Shared/HomeMeetingRowActionTargets.swift; Sources/UI/Shared/MeetingAudioArchiveResolver.swift,Sources/UI/Shared/,run-tests.sh OwnFileResolverTests MeetingAudioArchiveResolverTests HomeCaptureRefreshTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Finder/open behavior in app,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Home,Delete meeting confirmation,"As a user, I want deletion to be confirmed before captured files are removed.","Delete action presents a single root confirmation and removes transcript, summary, and retained owned audio only after confirmation.",Sources/UI/Settings/HomeDeleteConfirmationPolicy.swift; Sources/UI/Shared/HomeMeetingDeletion.swift; Sources/UI/Settings/HomeRootAlertPolicy.swift,Sources/UI/Settings/; Sources/UI/Shared/,run-tests.sh HomeDeleteConfirmationPolicyTests HomeMeetingDeletionTests HomeRootAlertPolicyTests UIAutomationSurfaceContractTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Actual menu/alert interaction,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Home,Rename meeting artifact,"As a user, I want editing a meeting title to keep the transcript, audio, and summary sidecar together.","Rename rewrites frontmatter and heading, then moves owned transcript, retained audio folder, and summary sidecar to the canonical stem.",Sources/UI/Shared/HomeMeetingRename.swift; Sources/Meeting/MeetingArtifactRenamer.swift,Sources/UI/Shared/; Sources/Meeting/,run-tests.sh HomeMeetingRenameTests; MeetingTranscriptStylerTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Real row title edit UX,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Home,Failed meeting recovery row,"As a user, I want failed meetings to show what happened and what I can do next.","Failed rows show retryability, retained audio, reveal/play/delete/dismiss actions, and clear copy without exposing private content.",Sources/UI/Settings/HomeFailedMeetingInlinePresentation.swift; Sources/UI/Settings/FailedMeetingRecoveryPresentation.swift; Sources/Meeting/FailedMeetingPresentation.swift,Sources/UI/Settings/; Sources/Meeting/,run-tests.sh FailedMeetingPresentationTests FailedMeetingRecoveryPresentationTests MeetingFailureExplanationTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Real failed-row actions,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Meetings,Detected meeting prompt,"As a user, I want Transcripted to offer recording when a meeting seems active without being annoying.","Prompt detector uses calendar, supported runtime apps, and mic-activity signals with provider-aware scoring, dismiss/remind backoff, and own-capture suppression.",Sources/Meeting/MeetingPromptDetector.swift; Sources/Meeting/MeetingPromptHeuristics.swift; Sources/Meeting/MicActivityMonitor.swift,Sources/Meeting/,run-tests.sh MeetingPromptDetectorTests MeetingPromptHeuristicsTests MicActivityMonitorTests SyntheticMeetingPromptTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",PASS: run-live-capture-smoke.sh --skip-build passed LiveCaptureSmokeTests; real mic + system-audio capture started/stopped and wrote scratch files on this Mac,Real Calendar and meeting-app behavior,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Meetings,Meeting permission preflight,"As a user, I want missing meeting permissions explained before recording starts.",Start gate blocks missing microphone or system-audio recording permission with user-facing recovery copy before capture starts.,Sources/Meeting/MeetingRecordingStartGate.swift; Sources/Support/TranscriptedPermissionAccess.swift,Sources/Meeting/; Sources/Support/,run-tests.sh MeetingRecordingStartGateTests TranscriptedPermissionAccessTests; qa-bench full,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",PASS: run-live-capture-smoke.sh --skip-build passed LiveCaptureSmokeTests; real mic + system-audio capture started/stopped and wrote scratch files on this Mac,Real TCC permission dialogs/status,UNKNOWN,None from automated proof; manual gaps remain where noted,,PARTIAL PASS: permission-state and live smoke passed current grants; deny/revoke flows remain manual/targeted-test proof,
Meetings,Start and stop live meeting recording,"As a user, I want to record mic plus system audio and save a meeting transcript.","Start waits for mic and system-audio readiness; stop gets scratch files, queues transcription, saves Markdown, retains audio, and returns UI to idle/transcribing states.",Sources/Meeting/MeetingSessionController.swift; Sources/Meeting/MeetingCaptureBridge.swift; Sources/TranscriptedCore/Audio/Audio.swift,Sources/Meeting/; Sources/TranscriptedCore/Audio/,build-deps.sh --force; build.sh; run-tests.sh; run-integration-smoke.sh; qa-bench full,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",PASS: run-live-capture-smoke.sh --skip-build passed LiveCaptureSmokeTests; real mic + system-audio capture started/stopped and wrote scratch files on this Mac,Real mic + system audio live capture,UNKNOWN,None from automated proof; manual gaps remain where noted,,PARTIAL PASS: live mic/system-audio capture start/stop proof passed; full saved-transcript user flow still needs manual/app-level capture proof,
Meetings,Cancel/discard recording,"As a user, I want discard to be explicit because it deletes captured audio.","Cancel is confirmed, stops capture, deletes scratch audio, and does not enqueue transcription.",Sources/Meeting/MeetingSessionController.swift; Sources/Meeting/MeetingRecordingCleanup.swift; Sources/Meeting/CLAUDE.md,Sources/Meeting/,run-tests.sh MeetingRecordingCleanupTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass,Real overlay discard confirmation,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Meetings,Queued transcription state,"As a user, I want background meeting work to be visible until saving is done.","Single-flight queue shows recording/transcribing/saving state when appropriate, and speaker review alone does not keep active work visible.",Sources/Meeting/MeetingSessionUIPolicy.swift; Sources/TranscriptedCore/Pipeline/TranscriptionTaskManager.swift,Sources/Meeting/; Sources/TranscriptedCore/Pipeline/,run-tests.sh MeetingSessionUIPolicyTests; run-integration-smoke.sh,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass,Real long transcription UI,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Meetings,Imported audio transcription,"As a user, I want existing recordings to become the same kind of saved meeting as live captures.","Imported audio is copied into scratch, prepared as a meeting input, runs through the normal save/restyle/stats/speaker pipeline, and preserves retry behavior.",Sources/Meeting/MeetingImportedAudioPreparer.swift; Sources/Meeting/MeetingSessionController.swift; Sources/TranscriptedCore/Pipeline/TranscriptionTaskManager.swift,Sources/Meeting/; Sources/TranscriptedCore/,MeetingImportedAudioPreparerTests; run-integration-smoke.sh; qa-bench full,"PASS: MeetingImportedAudioPreparerTests passed 58/58 and proves app-owned scratch copy, source-file preservation, metadata/date policy, unsupported-input errors, and copied-audio preparation; full QA bench qa-20260621-152351 also passed build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass,Real imported media files still need direct manual/computer-use proof,UNKNOWN,None from automated proof; real imported-media picker proof remains missing,,UNKNOWN: focused automated proof passed; still needs real imported-media UX proof,
Meetings,Retained meeting audio,"As a user, I want audio retained for review and retry according to my settings.","Successful and failed owned recordings are copied to retained audio folders, compressed to M4A after safe ownership checks, and pruned only by the selected retention window.",docs/storage-paths.md; Sources/Meeting/MeetingAudioStorageManager.swift; Sources/TranscriptedCore/Storage/RecordingAudioArchiver.swift,Sources/Meeting/; Sources/TranscriptedCore/Storage/,run-tests.sh MeetingAudioStorageManagerTests; swift test RecordingAudioArchiverTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass,Real playback from retained audio,UNKNOWN,None from automated proof; manual gaps remain where noted,,PENDING: no code fix for this story; proof status updated after retest pass,
Meetings,Meeting transcript Markdown,"As a user, I want saved meetings as readable, agent-friendly Markdown.","Transcript save writes frontmatter, timestamps, speaker labels, recording-health metadata, and restyled title/filename without dropping parseable content.",README.md; Sources/TranscriptedCore/Storage/TranscriptSaver.swift; Sources/Meeting/MeetingTranscriptStyler.swift,Sources/TranscriptedCore/Storage/; Sources/Meeting/,run-e2e-smoke.sh; run-tests.sh MeetingTranscriptStylerTests; swift test TranscriptFrontmatterTests TranscriptMetadataBuilderTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass,Real saved meeting from app capture,UNKNOWN,Non-blocking local artifact warning: validate-all found no JSON sidecars and 13 local legacy transcripts without capture_quality; not a code regression from this pass,,PENDING: no code fix for this story; proof status updated after retest pass,
